"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","total_type","school_phase","estimated_course_starts_by_pupils","total_schools","total_schools_participating","percentage_schools_participating"
202223,2022,"October","Local authority","E92000001","England","E12000009","South West","865","E06000054","Wiltshire","Total in academic year","All",2265,"234","101","43.2"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","330","E08000025","Birmingham","Total in academic year","All",9637,"418","186","44.5"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","331","E08000026","Coventry","Total in academic year","All",2163,"117","47","40.2"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","332","E08000027","Dudley","Total in academic year","All",1793,"106","48","45.3"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","884","E06000019","Herefordshire, County of","Total in academic year","All",1160,"99","41","41.4"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","333","E08000028","Sandwell","Total in academic year","All",3916,"123","55","44.7"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","893","E06000051","Shropshire","Total in academic year","All",1640,"150","64","42.7"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","334","E08000029","Solihull","Total in academic year","All",945,"82","28","34.1"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Total in academic year","All",5008,"401","155","38.7"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Total in academic year","All",2586,"90","47","52.2"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","894","E06000020","Telford and Wrekin","Total in academic year","All",1368,"73","34","46.6"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","335","E08000030","Walsall","Total in academic year","All",3246,"114","53","46.5"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","937","E10000031","Warwickshire","Total in academic year","All",3297,"242","93","38.4"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","336","E08000031","Wolverhampton","Total in academic year","All",3827,"103","51","49.5"
202223,2022,"October","Local authority","E92000001","England","E12000005","West Midlands","885","E10000034","Worcestershire","Total in academic year","All",3210,"243","98","40.3"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","370","E08000016","Barnsley","Total in academic year","All",2678,"91","44","48.4"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","380","E08000032","Bradford","Total in academic year","All",5034,"202","90","44.6"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","381","E08000033","Calderdale","Total in academic year","All",1759,"100","45","45"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","371","E08000017","Doncaster","Total in academic year","All",4412,"128","66","51.6"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","811","E06000011","East Riding of Yorkshire","Total in academic year","All",2220,"145","57","39.3"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","810","E06000010","Kingston upon Hull, City of","Total in academic year","All",2665,"97","48","49.5"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","382","E08000034","Kirklees","Total in academic year","All",3953,"180","66","36.7"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","383","E08000035","Leeds","Total in academic year","All",5440,"278","117","42.1"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","812","E06000012","North East Lincolnshire","Total in academic year","All",1738,"61","30","49.2"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","813","E06000013","North Lincolnshire","Total in academic year","All",1268,"79","34","43"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","815","E10000023","North Yorkshire","Total in academic year","All",2730,"359","130","36.2"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","372","E08000018","Rotherham","Total in academic year","All",2437,"121","57","47.1"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","373","E08000019","Sheffield","Total in academic year","All",3993,"176","85","48.3"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","384","E08000036","Wakefield","Total in academic year","All",2361,"138","68","49.3"
202223,2022,"October","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","816","E06000014","York","Total in academic year","All",567,"62","18","29"
